,"x"
15,5463532874307
-2,04189996022014
25,5846117998129
6,11681085658835
8,25956890098288
11,4514863440553
12,4711293476403
3,81362805473467
25,2175197178473
15,7279359054442
16,011095968099
20,3608968016926
6,81774968351328
16,4863393923098
6,18085365482596
15,6629492414395
5,720418025704
2,67436843507235
1,00114498348039
10,6417275488825
5,88058231495368
5,96926164930501
13,2212829402223
16,5302574621557
13,4697828242957
8,97217706676119
17,7196902009681
23,2559623914149
15,9968856135014
15,2305023137606
-0,480914756966364
5,85112874135607
13,3136598150752
10,1671310805535
9,31736560766062
9,35359891631011
9,9522429673444
6,42727427238397
3,64026486579035
16,412044320865
8,27524840237189
3,53864085183264
11,5900054111388
22,5955094361397
25,9493765773701
3,8352471861382
0,628145293038578
23,3866463343431
6,55990870379097
-5,24869436768365
3,61423217770681
16,2291346203222
10,5303432462422
27,9445132140891
18,6819558956797
11,4647890165058
21,7772254970922
4,14528113499214
21,4556871677071
7,51252026271178
8,53827163217581
13,2405767551662
4,74818868693714
6,86983552886143
15,4892530727144
11,5723997461692
8,99168559798515
17,0803186444039
7,24773208688395
31,0702553089244
1,72759812820427
-1,8286078065965
21,7061503191595
20,8569589825738
12,1860254488536
13,5387687402683
-1,32184076534496
10,4247296356675
27,9334133802345
4,4585207780417
13,7771763294599
15,5478275328275
8,26890817731148
5,79437098585889
9,0273621875416
17,7950606196999
9,30589168460911
14,3667047236261
19,0604594672784
13,8566588846911
9,81801533262344
1,68646279175485
9,43734655403761
15,6142145968811
3,51730700045922
15,5693785084836
8,46174857601158
22,1380073198445
8,76986184367944
22,6059980889608
